CityName,X,Y
Marchhaus,78.14304228594835,80.5135229676146
Molenstal,57.502407493735966,99.36077271893392
Mousrijk,21.730118113965545,56.38562252439435
Paluire,22.296878943128927,21.777059482538917
Houignane,53.93316896909609,34.9935769157342
Hallensten,77.50943447934007,89.71264223434407
Erdorf,18.657615108760716,44.52000722541091
Clonbriggan,35.81751199805146,32.44126926366802
Wickbridge,4.613807284054583,19.34689269017862
Winschoten,30.828034289613782,82.85572904056447
Slostein,87.28754721953487,57.07849389076848
Einwil,80.14938895372069,48.70001408653793
Langenstätten,92.06793580683859,33.707018044314964
Brautrenk,28.90057767688914,29.475565482709342
Waidstein,51.32356506078805,53.88074927802522
Naameinde,5.2901484091635975,38.240010599581595
Sherpschot,95.09040641716389,28.09592539997925
Borciennes,93.77814532396081,6.295823612144735
Drabagne,65.8700016437113,96.75184298139096
Altenbruck,8.731878958140292,6.839182292757906
Geisellohn,41.68303428646525,94.24307393191194
Ballyrick,74.51088862361087,54.26280589562907
Ballylarney,80.90642909926336,91.25155427036405
Windneuzen,26.324983279263638,77.96150084250722
Asoord,8.020856348083417,48.987640064762715
Berodon,68.58947421134832,55.397389163339795
Romainbourg,21.186301141032104,19.410268575166988
Amhaus,39.5090975615355,92.58755507404565
Lenzing,83.99013105087086,62.07918639435378
Knokheuvel,23.751177815614888,81.07962277181484
Mousport,99.7347612755898,46.45502900055537
Sarnau,93.92008561394317,10.209735357455074
Camroux,18.15761243877725,79.3692294582829
Gailwig,34.344186261530574,2.528816271411738
Creuzbrück,92.32067150751284,55.36577646249822
Nadoran,63.609810769198546,25.120705351854166
Monastone,63.73999313741584,43.04064553854864
Kesrade,1.7224428632253153,56.24957093092097
Nieuwerode,12.004748662956677,57.81939776320419
Langenkirch,42.81758469815503,64.87365349382648
Asges,95.7861857004125,77.43098556075773
Anszis,90.56581467182716,48.55358541742427
Götben,60.06642840794093,98.9821650415221
Kortcroen,45.49281827689641,65.69266692413069
Forlare,83.11349242672543,23.35395967286219
Dilogne,15.32973763783282,47.93935456574483
Colnoît,5.755539387633412,33.40707464237232
Schwarzenhofen,14.549298001189436,93.14354041968011
Zierenfeld,68.88686551166784,3.8683066444295866
Banlee,85.24019182629112,43.450923699086985
Limerush,0.4293335583094193,94.7198141949506
Zaltloopen,91.12183775338073,23.894207634900077
Ravenlen,76.4433164313198,22.336601552303147
Fritern,29.382338087140614,20.814964302210527
Liesschwil,62.42217188969972,56.04520038956999
Lenling,18.56354339766777,58.420254833807505
Knittelkirch,17.097922300467673,7.674784349674124
Lomvoorde,87.99290339942257,55.11721713812352
Wevelleeuw,1.002755859587856,79.40565158925551
Montauciennes,68.85415422668375,7.559563819046544
Valenvin,78.39295092075794,49.06555414516788
Altenscheid,75.6363407914854,1.88480132147687
Ahrensroda,29.8260799095852,40.58625804669227
Greylone,84.86915179637519,89.9906109361713
Droglone,22.07887172884583,83.9329974516657
Winterzijl,47.55842619980839,45.927668070753526
Laagechem,36.494690217339844,82.87552884874272
Liessee,1.3280734948094342,49.83556019623641
Münnau,79.88550816202961,43.114951529059155
